week_start,publisher,CDU/CSU_count,CDU/CSU_total,SPD_count,SPD_total,Grüne_count,Grüne_total,FDP_count,FDP_total,AfD_count,AfD_total,Die Linke_count,Die Linke_total,CDU/CSU_pct,SPD_pct,Grüne_pct,FDP_pct,AfD_pct,Die Linke_pct
2014-04-15,Der Spiegel,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,Der Spiegel,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,Der Spiegel,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-25,Der Spiegel,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0
2025-01-14,Der Spiegel,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-08,Der Spiegel,0,0,1,1,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2025-08-12,Der Spiegel,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,100.0
2025-08-19,Der Spiegel,2,4,0,0,3,4,0,0,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.0
2025-08-26,Der Spiegel,23,30,9,12,6,10,2,5,4,4,2,5,45.0,18.0,15.0,8.0,6.0,8.0
2025-09-09,Der Spiegel,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-16,Der Spiegel,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-25,Der Spiegel,7,19,6,8,2,9,0,0,6,23,0,0,32.0,14.0,15.0,0.0,39.0,0.0
2025-12-02,Der Spiegel,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-09,Der Spiegel,1,1,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,Der Spiegel,6,9,3,7,1,1,1,1,0,0,0,0,50.0,39.0,6.0,6.0,0.0,0.0
2025-12-30,Der Spiegel,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,Der Spiegel,21,27,10,12,5,9,2,3,6,8,3,3,44.0,19.0,15.0,5.0,13.0,5.0
2026-01-13,Der Spiegel,33,53,18,29,7,11,6,7,11,15,2,3,45.0,25.0,9.0,6.0,13.0,3.0
2026-01-20,Der Spiegel,32,56,15,24,7,26,8,12,8,20,2,3,40.0,17.0,18.0,9.0,14.0,2.0
2026-01-27,Der Spiegel,19,60,12,15,4,7,2,3,8,13,5,9,56.0,14.0,7.0,3.0,12.0,8.0
2026-02-03,Der Spiegel,24,46,14,34,9,21,4,4,17,23,1,1,36.0,26.0,16.0,3.0,18.0,1.0
2026-02-10,Der Spiegel,33,62,19,21,10,15,1,1,12,18,2,2,52.0,18.0,13.0,1.0,15.0,2.0
2026-02-17,Der Spiegel,32,62,10,23,9,12,6,12,13,29,3,3,44.0,16.0,9.0,9.0,21.0,2.0
2026-02-24,Der Spiegel,39,60,22,32,10,26,8,11,11,26,1,1,38.0,21.0,17.0,7.0,17.0,1.0
2026-03-03,Der Spiegel,38,100,21,22,19,68,7,72,13,37,1,1,33.0,7.0,23.0,24.0,12.0,0.0
2026-03-10,Der Spiegel,26,46,21,40,8,11,10,12,18,39,3,6,30.0,26.0,7.0,8.0,25.0,4.0
2026-03-17,Der Spiegel,18,36,8,11,9,19,3,9,6,19,1,1,38.0,12.0,20.0,9.0,20.0,1.0
2023-03-07,Die Bild,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,Die Bild,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-19,Die Bild,2,2,1,1,1,2,0,0,1,1,0,0,33.0,17.0,33.0,0.0,17.0,0.0
2025-08-26,Die Bild,25,54,17,31,6,12,4,6,5,10,0,0,48.0,27.0,11.0,5.0,9.0,0.0
2025-11-25,Die Bild,8,32,10,34,3,8,2,2,8,22,2,2,32.0,34.0,8.0,2.0,22.0,2.0
2025-12-09,Die Bild,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,Die Bild,2,6,1,1,2,6,0,0,0,0,0,0,46.0,8.0,46.0,0.0,0.0,0.0
2026-01-06,Die Bild,25,48,11,13,5,13,1,2,4,12,2,2,53.0,14.0,14.0,2.0,13.0,2.0
2026-01-13,Die Bild,20,38,10,33,5,24,5,6,11,25,2,5,29.0,25.0,18.0,5.0,19.0,4.0
2026-01-20,Die Bild,31,61,18,25,9,21,6,7,12,28,1,1,43.0,17.0,15.0,5.0,20.0,1.0
2026-01-27,Die Bild,27,70,18,37,5,8,5,5,10,28,1,1,47.0,25.0,5.0,3.0,19.0,1.0
