week_start,publisher,CDU/CSU_count,CDU/CSU_total,SPD_count,SPD_total,Grüne_count,Grüne_total,FDP_count,FDP_total,AfD_count,AfD_total,Die Linke_count,Die Linke_total,CDU/CSU_pct,SPD_pct,Grüne_pct,FDP_pct,AfD_pct,Die Linke_pct
2013-11-12,Anne Will,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26,Anne Will,1,19,1,58,1,4,1,3,1,2,0,0,22.0,67.0,5.0,3.0,2.0,0.0
2015-03-03,Anne Will,1,2,1,1,1,5,0,0,0,0,0,0,25.0,12.0,62.0,0.0,0.0,0.0
2015-03-17,Anne Will,1,3,1,7,0,0,1,1,1,1,0,0,25.0,58.0,0.0,8.0,8.0,0.0
2015-03-24,Anne Will,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,Anne Will,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-07,Anne Will,1,13,1,6,0,0,0,0,1,1,0,0,65.0,30.0,0.0,0.0,5.0,0.0
2015-04-21,Anne Will,1,11,0,0,0,0,1,1,0,0,0,0,92.0,0.0,0.0,8.0,0.0,0.0
2015-04-28,Anne Will,1,12,1,2,1,1,0,0,0,0,0,0,80.0,13.0,7.0,0.0,0.0,0.0
2015-05-19,Anne Will,1,5,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0
2015-06-02,Anne Will,1,8,1,9,1,1,0,0,0,0,1,1,42.0,47.0,5.0,0.0,0.0,5.0
2015-07-14,Anne Will,1,20,1,1,1,4,0,0,1,1,0,0,77.0,4.0,15.0,0.0,4.0,0.0
2015-07-21,Anne Will,1,15,1,1,1,4,0,0,0,0,0,0,75.0,5.0,20.0,0.0,0.0,0.0
2015-07-28,Anne Will,1,18,1,1,0,0,0,0,0,0,0,0,95.0,5.0,0.0,0.0,0.0,0.0
2015-08-04,Anne Will,1,10,1,3,1,1,0,0,1,1,0,0,67.0,20.0,7.0,0.0,7.0,0.0
2015-09-22,Anne Will,1,2,0,0,1,10,0,0,1,2,0,0,14.0,0.0,71.0,0.0,14.0,0.0
2015-09-29,Anne Will,1,29,1,4,1,1,0,0,1,2,0,0,81.0,11.0,3.0,0.0,6.0,0.0
2015-10-13,Anne Will,1,2,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0
2015-11-03,Anne Will,1,8,1,9,1,1,1,1,1,5,0,0,33.0,38.0,4.0,4.0,21.0,0.0
2015-11-10,Anne Will,1,7,0,0,1,1,0,0,1,6,0,0,50.0,0.0,7.0,0.0,43.0,0.0
2015-11-17,Anne Will,1,1,1,1,0,0,0,0,1,3,0,0,20.0,20.0,0.0,0.0,60.0,0.0
2015-11-24,Anne Will,1,41,1,7,0,0,1,6,1,1,1,1,73.0,12.0,0.0,11.0,2.0,2.0
2016-01-26,Anne Will,1,5,0,0,1,3,1,1,0,0,1,1,50.0,0.0,30.0,10.0,0.0,10.0
2018-02-06,Anne Will,1,5,1,1,1,1,1,1,1,5,1,1,36.0,7.0,7.0,7.0,36.0,7.0
2018-07-10,Anne Will,1,7,1,6,1,14,1,5,0,0,0,0,22.0,19.0,44.0,16.0,0.0,0.0
2018-08-14,Anne Will,1,7,0,0,1,3,1,3,0,0,0,0,54.0,0.0,23.0,23.0,0.0,0.0
2018-08-21,Anne Will,1,7,1,4,0,0,1,3,0,0,0,0,50.0,29.0,0.0,21.0,0.0,0.0
2018-09-04,Anne Will,0,0,1,1,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2018-09-11,Anne Will,1,12,1,26,1,4,1,1,1,5,1,7,22.0,47.0,7.0,2.0,9.0,13.0
2018-10-09,Anne Will,1,39,1,29,1,9,1,10,1,8,0,0,41.0,31.0,9.0,11.0,8.0,0.0
2018-10-16,Anne Will,1,15,1,4,0,0,1,1,1,2,0,0,68.0,18.0,0.0,5.0,9.0,0.0
2018-10-23,Anne Will,1,61,1,37,1,36,1,12,1,4,1,1,40.0,25.0,24.0,8.0,3.0,1.0
2019-08-06,Anne Will,1,29,1,63,1,2,0,0,0,0,1,3,30.0,65.0,2.0,0.0,0.0,3.0
2019-09-10,Anne Will,1,2,0,0,1,10,1,1,1,5,0,0,11.0,0.0,56.0,6.0,28.0,0.0
2019-10-08,Anne Will,1,45,1,44,0,0,0,0,1,1,0,0,50.0,49.0,0.0,0.0,1.0,0.0
2019-10-29,Anne Will,1,58,1,31,1,5,1,9,1,6,1,5,51.0,27.0,4.0,8.0,5.0,4.0
2020-01-07,Anne Will,1,2,1,1,1,1,1,3,1,3,0,0,20.0,10.0,10.0,30.0,30.0,0.0
2020-01-14,Anne Will,1,21,0,0,0,0,0,0,1,6,1,1,75.0,0.0,0.0,0.0,21.0,4.0
2020-01-21,Anne Will,1,3,1,2,1,8,0,0,1,6,0,0,16.0,11.0,42.0,0.0,32.0,0.0
2020-01-28,Anne Will,1,7,1,10,0,0,1,4,0,0,1,1,32.0,45.0,0.0,18.0,0.0,5.0
2020-02-04,Anne Will,1,82,1,9,1,3,1,38,1,21,1,16,49.0,5.0,2.0,22.0,12.0,9.0
2020-02-11,Anne Will,1,78,1,15,1,6,1,18,1,8,1,6,60.0,11.0,5.0,14.0,6.0,5.0
2020-02-18,Anne Will,1,58,1,24,1,12,1,9,1,5,1,18,46.0,19.0,10.0,7.0,4.0,14.0
2020-03-03,Anne Will,0,0,0,0,1,2,0,0,1,1,0,0,0.0,0.0,67.0,0.0,33.0,0.0
